Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetGesture,TargetID,ReactionTime
2026-01-13T16:19:25.030876,debug-p01,Proposed,R,85,Gun,6,1012.9311084747314
2026-01-13T16:19:30.618485,debug-p01,Proposed,R,86,Fist,1,983.48069190979
2026-01-13T16:19:35.933922,debug-p01,Proposed,R,87,Victory,4,768.5880661010742
2026-01-13T16:19:41.476242,debug-p01,Proposed,R,88,RockNRoll,5,917.0374870300293
2026-01-13T16:19:48.923688,debug-p01,Proposed,R,89,FingerPoint,3,865.3841018676758
2026-01-13T16:19:48.923521,debug-p01,Proposed,R,89,FingerPoint,3,865.3841018676758
2026-01-13T16:19:54.246963,debug-p01,Proposed,R,91,Fist,1,1095.7305431365967
2026-01-13T16:19:59.582803,debug-p01,Proposed,R,92,ThumbsUp,7,1098.7460613250732
2026-01-13T16:20:04.636915,debug-p01,Proposed,R,93,Victory,4,925.9769916534424
2026-01-13T16:20:09.695884,debug-p01,Proposed,R,94,Victory,4,836.5035057067871
2026-01-13T16:20:14.640270,debug-p01,Proposed,R,95,Victory,4,812.9494190216064
2026-01-13T16:20:19.701106,debug-p01,Proposed,R,96,Neutral,0,853.0557155609131
2026-01-13T16:20:27.905553,debug-p01,Proposed,R,97,ThumbsUp,7,1700.8521556854248
2026-01-13T16:20:33.142294,debug-p01,Proposed,R,98,ThumbsUp,7,1175.3613948822021
2026-01-13T16:20:39.881370,debug-p01,Proposed,R,99,Victory,4,2191.1261081695557
2026-01-13T16:20:39.881025,debug-p01,Proposed,R,99,Victory,4,2191.1261081695557
